   DEPTH             VP        VSH          VS
   8922.0000    11551.9141   -999.2500   5822.5117
   8922.5000    11552.1670   -999.2500   5822.7617
   8923.0000    11552.4229   -999.2500   5823.0112
   8923.5000    11552.6807   -999.2500   5823.1367
   8924.0000    11552.9385   -999.2500   5823.3862
   8924.5000    11553.1963   -999.2500   5823.6362
   8925.0000     -999.2500   -999.2500   5823.7617
   8925.5000     -999.2500   -999.2500   5824.0117
   8926.0000     -999.2500   -999.2500   5824.2612
   8926.5000     -999.2500   -999.2500   5824.3862
   8927.0000     -999.2500   -999.2500   5824.6362
   8927.5000    11554.7412   -999.2500   5824.8862
   8928.0000    11554.9990   -999.2500   5825.0117
   8928.5000    11555.2539   -999.2500   5825.2617
   8929.0000    11555.5078   -999.2500   5825.6353
   8929.5000    11555.7656   -999.2500   5825.8853
   8930.0000    11556.0273   -999.2500   5826.0107
   8930.5000    11556.2812   -999.2500   5826.2607
   8931.0000    11556.5381   -999.2500   5826.5107
   8931.5000    11556.7959   -999.2500   5826.6362
   8932.0000    11557.0537   -999.2500   5826.8853
   8932.5000    11557.3115   -999.2500   5827.0107
   8933.0000    11557.5693   -999.2500   5827.2607
   8933.5000    11626.3389   -999.2500   5885.0000
   8934.0000    11558.0801   -999.2500   5827.8848
   8934.5000    11558.3369   -999.2500   5827.7617
   8935.0000    11558.5947   -999.2500   5828.2598
   8935.5000    11558.8525   -999.2500   5828.3853
   8936.0000    11559.1104   -999.2500   5828.5107
   8936.5000    11616.0742   -999.2500   5876.3765
   8937.0000    13220.1348   -999.2500   7197.1890
   8937.5000    11972.2773   -999.2500   6174.3228
   8938.0000    11560.1367   -999.2500   5829.3853
   8938.5000    11560.3945   -999.2500   5829.6353
   8939.0000    11560.6514   -999.2500   5829.7607
   8939.5000     -999.2500   -999.2500   5830.0107
   8940.0000     -999.2500   -999.2500   5830.2603
   8940.5000     -999.2500   -999.2500   6166.9497
   8941.0000     -999.2500   -999.2500   5937.2407
   8941.5000     -999.2500   -999.2500   7333.8062
   8942.0000     -999.2500   -999.2500   6096.5859
   8942.5000     -999.2500   -999.2500   5887.8755
   8943.0000     -999.2500   -999.2500   6499.6440
   8943.5000     -999.2500   -999.2500   7234.0620
   8944.0000     -999.2500   -999.2500   8650.3193
   8944.5000     -999.2500   -999.2500   6919.9629
   8945.0000     -999.2500   -999.2500   5832.5093
   8945.5000     -999.2500   -999.2500   6715.4888
   8946.0000     -999.2500   -999.2500   6201.9429
   8946.5000     -999.2500   -999.2500   5833.2593
   8947.0000    11564.7637   -999.2500   5833.2598
   8947.5000    11565.0215   -999.2500   5833.5098
   8948.0000    11565.2754   -999.2500   5833.7593
   8948.5000    11565.5381   -999.2500   5833.8848
   8949.0000    11565.7920   -999.2500   5834.1348
   8949.5000    11566.0498   -999.2500   5834.3848
   8950.0000    11566.3486   -999.2500   5834.6084
   8950.5000    11566.6064   -999.2500   5834.6094
